,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,possibly_sensitive,possibly_sensitive_editable,extended_entities,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,card
1123634666177683458,Wed May 01 17:05:55 +0000 2019,1123634666177683458,1123634666177683458,@anuwa01 @d1n3th ට හුකන්න...,False,"[17, 28]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'anuwa01', 'name': 'P U S P E', 'id': 707102986049347584, 'id_str': '707102986049347584', 'indices': [0, 8]}, {'screen_name': 'd1n3th', 'name': 'ƊƖƝЄƬӇ 彡', 'id': 956597128725372928, 'id_str': '956597128725372928', 'indices': [9, 16]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1236284990535516e+18,1123628499053551617,7.071029860493476e+17,707102986049347584,anuwa01,727759822955909120,727759822955909120,,,,,False,0,3,1,0,1123621563813724163,1123621563813724163,False,False,si,,,,,,,,,
946425042438578177,Thu Dec 28 16:58:08 +0000 2017,946425042438578177,946425042438578177,ටහුකන ඩේටා තොගයක් යන්නේ වයිෆයි නැති උනාම 😕😩,False,"[0, 43]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,429624563,429624563,,,,,False,1,22,3,1,946425042438578177,946425042438578177,False,False,si,,,,,,,,,
907200761401974784,Mon Sep 11 11:14:51 +0000 2017,907200761401974784,907200761401974784,@chanukatc මනුස්සකමට රෙද්ද ඉස්සුවාම ණයට හුකන්න එන්නෙපා මල්ලි. වයසට හරියන එකෙක් අල්‍ලගනින්,False,"[11, 89]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chanukatc', 'name': 'THISURA', 'id': 797374741140996100, 'id_str': '797374741140996100', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9.072003101454254e+17,907200310145425408,7.973747411409961e+17,797374741140996100,chanukatc,186032870,186032870,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,0,0,0,0,907198533920587776,907198533920587776,False,False,si,,,,,,,,,
979337143225954304,Thu Mar 29 12:39:04 +0000 2018,979337143225954304,979337143225954304,@IamHisAnchor හුකන්න 😂,False,"[14, 22]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.793369642215588e+17,979336964221558784,8.983567922619228e+17,898356792261922816,_NayanatharaJ,707102986049347584,707102986049347584,,,,,False,0,1,1,0,979335703875092481,979335703875092481,False,False,si,,,,,,,,,
1269690136498966531,Sun Jun 07 17:58:12 +0000 2020,1269690136498966531,1269690136498966531,@ExcuzeMiii @CrizBale ඔව්ව් හැබැයි..මෙකි ෆෙක් අටවන් එන්න තරම් චොර වුනා 🤣,False,"[22, 72]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ExcuzeMiii', 'name': 'Hamza Haniffa', 'id': 4867064842, 'id_str': '4867064842', 'indices': [0, 11]}, {'screen_name': 'CrizBale', 'name': 'ලසියා🐧🇱🇰 🇪🇸', 'id': 432130044, 'id_str': '432130044', 'indices': [12, 21]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.269689885302182e+18,1269689885302181894,4867064842.0,4867064842,ExcuzeMiii,924544050996195329,924544050996195329,,,,,False,0,3,1,0,1269684297763442689,1269684297763442689,False,False,si,,,,,,,,,
874303973708247040,Mon Jun 12 16:34:45 +0000 2017,874303973708247040,874303973708247040,ට හුකන්න ක්‍රිකට් ගහන්න පටන් ගත්තු කාලේ වගේ මුන් ස්ටේටස් දාන්නේ :3,False,"[0, 66]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,586286995,586286995,,,,,False,0,0,0,0,874303973708247040,874303973708247040,False,False,si,,,,,,,,,
1199580597808553984,Wed Nov 27 06:47:56 +0000 2019,1199580597808553984,1199580597808553984,ටෛකෙන අව්ව 😒,False,"[0, 12]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,352931832,352931832,,,,,False,0,6,1,0,1199580597808553984,1199580597808553984,False,False,si,,,,,,,,,
1135897381533208576,Tue Jun 04 13:13:34 +0000 2019,1135897381533208576,1135897381533208576,@ChamudithaJithm @RusselArnold69 උගෙ අම්මට හුකන්න ගිහින් තියෙන්නෙ 😡😡😡😡😡,False,"[33, 71]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ChamudithaJithm', 'name': 'Chamuditha  jayanka🇱🇰', 'id': 3011316871, 'id_str': '3011316871', 'indices': [0, 16]}, {'screen_name': 'RusselArnold69', 'name': 'Russel Arnold', 'id': 456593827, 'id_str': '456593827', 'indices': [17, 32]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.135869688380969e+18,1135869688380968960,3011316871.0,3011316871,ChamudithaJithm,836609053115596801,836609053115596801,,,,,False,0,0,0,0,1135869414878826496,1135869414878826496,False,False,si,,,,,,,,,
1350862864236515328,Sun Jan 17 17:49:39 +0000 2021,1350862864236515328,1350862864236515328,@sunandadesh සුනන්ද දේසප්‍රිය නෙවෙයි  ...හුකන්න සක්කිලීප්‍රිය....   කියලා ද ගත්තනන් හොදයි,False,"[13, 89]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sunandadesh', 'name': 'sunanda deshapriya', 'id': 27633152, 'id_str': '27633152', 'indices': [0, 12]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3507428738814034e+18,1350742873881403393,27633152.0,27633152,sunandadesh,1348192422686179328,1348192422686179328,,,,,False,0,0,0,0,1350742873881403393,1350742873881403393,False,False,si,,,,,,,,,
1274970933577633792,Mon Jun 22 07:42:13 +0000 2020,1274970933577633792,1274970933577633792,@irajonline @sajithpremadasa @pcranawaka @anuradisanayake @BimalRathnayake @ajithpperera_p @NoizeNews @milindarj උබට ගූ රාජ් කියල නම දාගනින් මෝක හුකන්න තෝනම 💩 ගොඩක්🤮🤮🤮🤮,False,"[113, 168]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'irajonline', 'name': 'IRAJ', 'id': 124982587, 'id_str': '124982587', 'indices': [0, 11]}, {'screen_name': 'sajithpremadasa', 'name': 'Sajith Premadasa', 'id': 106014897, 'id_str': '106014897', 'indices': [12, 28]}, {'screen_name': 'pcranawaka', 'name': 'Patali Champika Ranawaka', 'id': 2300685198, 'id_str': '2300685198', 'indices': [29, 40]}, {'screen_name': 'anuradisanayake', 'name': 'Anura Kumara Dissanayake', 'id': 2549159352, 'id_str': '2549159352', 'indices': [41, 57]}, {'screen_name': 'BimalRathnayake', 'name': 'Bimal Rathnayake', 'id': 1073463713213095936, 'id_str': '1073463713213095936', 'indices': [58, 74]}, {'screen_name': 'ajithpperera_p', 'name': 'Ajith P Perera', 'id': 847901076, 'id_str': '847901076', 'indices': [75, 90]}, {'screen_name': 'NoizeNews', 'name': 'noizenews', 'id': 1245047811105648641, 'id_str': '1245047811105648641', 'indices': [91, 101]}, {'screen_name': 'milindarj', 'name': 'Milinda Rajapaksha', 'id': 36129748, 'id_str': '36129748', 'indices': [102, 112]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.27429771133286e+18,1274297711332859907,124982587.0,124982587,irajonline,1274968722592194560,1274968722592194560,,,,,False,0,0,0,0,1274297711332859907,1274297711332859907,False,False,si,,,,,,,,,
